Nap,Tmax
      [°C],Tmin
    [°C],Szél
	[m/s],Csapadék
	[mm]
2021.11.01hétfő,14.6,7.2,3.8,0

2021.11.02kedd,12.9,7.4,6.9,8.3

2021.11.03szerda,12.3,6.8,4.2,0

2021.11.04csütörtök,15.7,10.8,5.4,11.2

2021.11.05péntek,10.8,7.2,3.7,0

2021.11.06szombat,11.4,6.4,2.9,0

2021.11.07vasárnap,10.5,8.4,1.8,0.7

2021.11.08hétfő,10.7,7.9,4.8,5.6

2021.11.09kedd,11.9,6.1,1.9,0

2021.11.10szerda,11.4,5.6,4.2,0

2021.11.11csütörtök,11.2,6.1,2.7,0

2021.11.12péntek,10.7,6,1.5,0

2021.11.13szombat,10.5,5.9,2.2,0

2021.11.14vasárnap,11.9,7.4,1.8,0

2021.11.15hétfő,12.2,7.9,2.3,0

2021.11.16kedd,10.1,6.2,1.9,0

2021.11.17szerda,9.1,5.1,2.3,0

2021.11.18csütörtök,10.9,6.1,5.4,0

2021.11.19péntek,10.2,6,5.3,0

2021.11.20szombat,13.1,7.9,5.9,0

2021.11.21vasárnap,10.9,6.4,2.2,0

2021.11.22hétfő,9.7,6,2,0

2021.11.23kedd,8.3,4.7,2.5,0

2021.11.24szerda,6.6,3.2,1.7,0

2021.11.25csütörtök,7.2,2.3,3.8,0

2021.11.26péntek,6.9,5.9,3.5,10.7

2021.11.27szombat,6.3,2.6,3.6,0.6

2021.11.28vasárnap,9,4.2,3.1,1.5

2021.11.29hétfő,3.8,1.3,7.1,0

2021.11.30kedd,4.7,0.8,6.3,2.5
