Nap,Tmax
      [°C],Tmin
    [°C],Szél
	[m/s],Csapadék
	[mm]
2021.07.01csütörtök,27.1,17.2,6.3,1.4

2021.07.02péntek,24.7,15.9,6.2,0

2021.07.03szombat,27.2,14.8,4.7,0

2021.07.04vasárnap,29.2,18.1,3.6,0

2021.07.05hétfő,28.1,18.9,4.8,0

2021.07.06kedd,32.6,19.8,2.5,0

2021.07.07szerda,36.1,22.6,4.4,0

2021.07.08csütörtök,38.6,24.5,5,0.4

2021.07.09péntek,36.3,20.2,6.5,8.8

2021.07.10szombat,31.1,17,3.1,0

2021.07.11vasárnap,32.6,20.5,4.3,4.9

2021.07.12hétfő,32.6,18.6,2.7,1.9

2021.07.13kedd,38.2,21.7,4.4,0

2021.07.14szerda,35.7,23,5.1,1.9

2021.07.15csütörtök,31.8,21.5,3.7,0

2021.07.16péntek,34.1,21.2,5.5,12.2

2021.07.17szombat,30.5,20.6,3.5,5.1

2021.07.18vasárnap,32.6,19.4,5.1,6.9

2021.07.19hétfő,25.7,19.7,3.5,9.6

2021.07.20kedd,28.5,19,5.5,0.1

2021.07.21szerda,26.1,15.8,3.2,0

2021.07.22csütörtök,29,18.8,1.8,0

2021.07.23péntek,29.3,19.5,1.6,0

2021.07.24szombat,32.1,21.3,3.2,0

2021.07.25vasárnap,34.4,21.4,5.7,0.6

2021.07.26hétfő,33.7,20.8,4.8,1.8

2021.07.27kedd,33.1,23.4,3.3,0

2021.07.28szerda,35.8,25.4,5.2,0

2021.07.29csütörtök,33.2,21.4,4.2,0.2

2021.07.30péntek,36.3,24,4.3,0.2

2021.07.31szombat,30.3,23,5.1,3.3
